graph_id,is_correct,feature_75535,feature_68705,feature_283259,feature_262528,feature_25,feature_486918,feature_11,feature_0,feature_33,feature_347561
43_0_0,1,0,0,0,1,0,0,0,1,0,0
32_0_0,0,1,0,0,0,1,0,0,0,0,0
32_0_1,0,1,0,0,0,1,0,0,0,0,0
32_0_2,0,1,0,0,0,1,0,0,0,0,0
32_0_3,0,1,0,0,0,1,0,0,0,0,0
3_0_0,0,1,1,1,1,1,0,1,0,0,0
3_0_1,0,1,1,1,1,1,0,1,0,0,0
3_0_2,0,1,1,1,1,1,0,1,0,0,0
3_0_3,0,1,1,1,1,1,0,1,0,0,0
3_1_0,0,1,1,1,1,1,0,1,0,0,0
3_1_1,0,1,1,1,1,1,0,1,0,0,0
3_1_2,0,1,1,1,1,1,0,1,0,0,0
3_1_3,0,1,1,1,1,1,0,1,0,0,0
3_2_0,0,1,1,1,1,1,0,1,0,0,0
3_2_1,0,1,1,1,1,1,0,1,0,0,0
3_2_2,0,1,1,1,1,1,0,1,0,0,0
3_2_3,0,1,1,1,1,1,0,1,0,0,0
35_0_0,0,1,1,1,1,1,0,1,0,0,0
35_0_1,0,1,1,1,1,1,0,1,0,0,0
35_0_2,0,1,1,1,1,1,0,1,0,0,0
35_0_3,0,1,1,1,1,1,0,1,0,0,0
35_1_0,0,1,1,1,1,1,0,1,0,0,0
35_1_1,0,1,1,1,1,1,0,1,0,0,0
35_1_2,0,1,1,1,1,1,0,1,0,0,0
35_1_3,0,1,1,1,1,1,0,1,0,0,0
5_0_0,0,0,0,0,0,0,0,0,0,0,0
5_0_1,0,0,0,0,0,0,0,0,0,0,0
5_0_2,0,0,0,0,0,0,0,0,0,0,0
5_0_3,0,0,0,0,0,0,0,0,0,0,0
22_0_0,0,0,0,0,0,0,0,0,0,0,0
22_0_1,0,0,0,0,0,0,0,0,0,0,0
22_0_2,0,0,0,0,0,0,0,0,0,0,0
22_0_3,0,0,0,0,0,0,0,0,0,0,0
39_0_0,0,0,0,0,0,0,1,0,0,0,0
39_0_1,0,0,0,0,0,0,1,0,0,0,0
39_0_2,0,0,0,0,0,0,1,0,0,0,0
39_0_3,0,0,0,0,0,0,1,0,0,0,0
9_0_0,0,0,0,0,1,0,0,0,0,0,0
9_0_1,0,0,0,0,1,0,0,0,0,0,0
9_0_2,0,0,0,0,1,0,0,0,0,0,0
9_0_3,0,0,0,0,1,0,0,0,0,0,0
25_0_0,0,0,0,0,0,1,0,0,0,0,0
25_0_1,0,0,0,0,0,1,0,0,0,0,0
25_0_2,0,0,0,0,0,1,0,0,0,0,0
25_0_3,0,0,0,0,0,1,0,0,0,0,0
26_0_0,0,0,0,0,0,1,0,0,0,0,0
26_0_1,0,0,0,0,0,1,0,0,0,0,0
26_0_2,0,0,0,0,0,1,0,0,0,0,0
26_0_3,0,0,0,0,0,1,0,0,0,0,0
42_0_0,0,0,1,0,1,0,0,0,0,0,0
42_0_1,0,0,1,0,1,0,0,0,0,0,0
42_0_2,0,0,1,0,1,0,0,0,0,0,0
42_0_3,0,0,1,0,1,0,0,0,0,0,0
14_0_0,0,0,0,1,1,0,1,0,0,0,0
14_0_1,0,0,0,1,1,0,1,0,0,0,0
14_0_2,0,0,0,1,1,0,1,0,0,0,0
14_0_3,0,0,0,1,1,0,1,0,0,0,0
